Site,Latitude,Longitude,target,seasonal_naive,harmonic_regression,last_slope_hold
Bedrock,66.524,-150.53099999999998,soil_temperature_0_to_7cm,5.8628946753307565,4.399172960747661,32.29958359062255
Bedrock,66.524,-150.53099999999998,soil_moisture_0_to_7cm,0.05337230393256289,0.03898957297527742,0.1856744145462522
Bedrock,66.524,-150.44099999999997,soil_temperature_0_to_7cm,4.323784513525147,3.681313170938243,12.76687343337932
Bedrock,66.524,-150.44099999999997,soil_moisture_0_to_7cm,0.044362426721322346,0.03307119641147682,0.1556725147056434
Bedrock,66.524,-150.351,soil_temperature_0_to_7cm,4.5744413914149655,3.901029768475849,13.506258104805365
Bedrock,66.524,-150.351,soil_moisture_0_to_7cm,0.04586278896151605,0.03924720464580254,0.08349555116810436
Bedrock,66.524,-150.261,soil_temperature_0_to_7cm,3.7300846640275243,3.8923142437338973,19.89090054035351
Bedrock,66.524,-150.261,soil_moisture_0_to_7cm,0.04124621688621866,0.03370672675035569,0.16152584554689764
Bedrock,66.524,-150.171,soil_temperature_0_to_7cm,3.730084647014901,3.8923142369074832,19.89090092790775
Bedrock,66.524,-150.171,soil_moisture_0_to_7cm,0.04124621688621866,0.03370672675035569,0.16152584554689764
Bedrock,66.524,-150.081,soil_temperature_0_to_7cm,3.714772314738964,3.964017665722379,21.18414974056812
Bedrock,66.524,-150.081,soil_moisture_0_to_7cm,0.03824466280129673,0.03179781981039356,0.12758146625846517
Bedrock,66.614,-150.71099999999998,soil_temperature_0_to_7cm,5.1133011960293855,4.408984608042069,10.213714633241091
Bedrock,66.614,-150.71099999999998,soil_moisture_0_to_7cm,0.05512656705068685,0.04593980319872815,0.12070465077968259
Bedrock,66.614,-150.62099999999998,soil_temperature_0_to_7cm,6.10294129021038,5.3125015633883566,14.248962506081092
Bedrock,66.614,-150.62099999999998,soil_moisture_0_to_7cm,0.06664163137322265,0.06137325036224317,0.059330658721022764
Bedrock,66.614,-150.53099999999998,soil_temperature_0_to_7cm,6.011507069140929,4.951346979235204,20.874943344525043
Bedrock,66.614,-150.53099999999998,soil_moisture_0_to_7cm,0.05351027861160247,0.049032403296151,0.05358248975386692
Bedrock,66.614,-150.44099999999997,soil_temperature_0_to_7cm,4.323784484004097,3.6813131603702054,12.76687303779438
Bedrock,66.614,-150.44099999999997,soil_moisture_0_to_7cm,0.044362426721322346,0.03307119641147682,0.1556725147056434
Bedrock,66.614,-150.351,soil_temperature_0_to_7cm,4.5744413620819,3.901029765009088,13.506257344725844
Bedrock,66.614,-150.351,soil_moisture_0_to_7cm,0.04586278896151605,0.03924720464580254,0.08349555116810436
Bedrock,66.614,-150.261,soil_temperature_0_to_7cm,5.482541813505168,4.39545456755629,22.618258911932653
Bedrock,66.614,-150.261,soil_moisture_0_to_7cm,0.03720612943438699,0.029655199506837756,0.0965599900858514
Bedrock,66.614,-150.171,soil_temperature_0_to_7cm,3.7300846521618753,3.8923142407163347,19.890900885600956
Bedrock,66.614,-150.171,soil_moisture_0_to_7cm,0.04124621688621866,0.03370672675035569,0.16152584554689764
Bedrock,66.614,-150.081,soil_temperature_0_to_7cm,3.714772305090944,3.964017651207731,21.184149691546832
Bedrock,66.614,-150.081,soil_moisture_0_to_7cm,0.03824466280129673,0.03179781981039356,0.12758146625846517
