arch,tier,target,n_subsets,strategy,subset_val_r2s,combined_val_r2,fine_tune_r2,std_R2,space_R2,time_R2,both_R2,train_time_s,eval_time_s,total_time_s,combine_time_s
STGCN,GRAPH,moist,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2332, 0.1162]",-74.2063,0.3312,0.3231,0.3312,0.3231,0.3312,481.9,27.2,612.5,103.4
SpatialMamba,SSM,moist,1,baseline,[0.5751],0.5751,0.5751,0.6077,0.5751,0.6077,0.5751,313.1,28.1,341.2,
SpatialMamba,SSM,moist,2,fedavg,"[-99.0, 0.3827]",-49.3086,0.4458,0.4516,0.4458,0.4516,0.4458,345.8,28.0,470.5,96.7
SpatialMamba,SSM,moist,2,weighted,"[-99.0, 0.3827]",-49.3086,0.4586,0.4639,0.4586,0.4639,0.4586,345.8,27.0,470.2,97.4
SpatialMamba,SSM,moist,2,momentum,"[-99.0, 0.3827]",-49.3086,0.4465,0.455,0.4465,0.455,0.4465,345.8,27.6,478.1,104.6
SpatialMamba,SSM,moist,2,belief,"[-99.0, 0.3827]",-49.3086,0.4522,0.456,0.4522,0.456,0.4522,345.8,27.6,482.7,109.2
SpatialMamba,SSM,moist,4,fedavg,"[-99.0, -99.0, -99.0, 0.2807]",-74.1798,0.3901,0.3883,0.3901,0.3883,0.3901,520.0,27.0,647.3,100.3
SpatialMamba,SSM,moist,4,weighted,"[-99.0, -99.0, -99.0, 0.2807]",-74.1798,0.3876,0.3885,0.3876,0.3885,0.3876,520.0,26.8,646.7,100.0
SpatialMamba,SSM,moist,4,momentum,"[-99.0, -99.0, -99.0, 0.2807]",-74.1798,0.381,0.3803,0.381,0.3803,0.381,520.0,27.3,647.4,100.2
SpatialMamba,SSM,moist,4,belief,"[-99.0, -99.0, -99.0, 0.2807]",-74.1798,0.379,0.3762,0.379,0.3762,0.379,520.0,27.1,645.6,98.5
SpatialMamba,SSM,moist,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2568, 0.1075]",-74.2045,0.3704,0.3651,0.3704,0.3651,0.3704,457.9,27.1,580.3,95.3
SpatialMamba,SSM,moist,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2568, 0.1075]",-74.2045,0.3737,0.3722,0.3737,0.3722,0.3737,457.9,28.1,581.4,95.4
SpatialMamba,SSM,moist,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2568, 0.1075]",-74.2045,0.3686,0.3641,0.3686,0.3641,0.3686,457.9,27.7,583.1,97.5
SpatialMamba,SSM,moist,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2568, 0.1075]",-74.2045,0.3739,0.3713,0.3739,0.3713,0.3739,457.9,27.9,583.5,97.7
SpatialBiGRU,SSM,moist,1,baseline,[0.5833],0.5833,0.5833,0.6188,0.5833,0.6188,0.5833,309.2,27.6,336.8,
SpatialBiGRU,SSM,moist,2,fedavg,"[-99.0, 0.4248]",-49.2876,0.4919,0.5027,0.4919,0.5027,0.4919,378.9,27.7,514.6,108.0
SpatialBiGRU,SSM,moist,2,weighted,"[-99.0, 0.4248]",-49.2876,0.4943,0.5108,0.4943,0.5108,0.4943,378.9,28.7,516.3,108.7
SpatialBiGRU,SSM,moist,2,momentum,"[-99.0, 0.4248]",-49.2876,0.5018,0.5177,0.5018,0.5177,0.5018,378.9,27.8,516.4,109.7
SpatialBiGRU,SSM,moist,2,belief,"[-99.0, 0.4248]",-49.2876,0.4932,0.5133,0.4932,0.5133,0.4932,378.9,27.8,515.3,108.6
SpatialBiGRU,SSM,moist,4,fedavg,"[-99.0, -99.0, -99.0, 0.3254]",-74.1686,0.354,0.3521,0.354,0.3521,0.354,548.4,28.7,685.4,108.3
SpatialBiGRU,SSM,moist,4,weighted,"[-99.0, -99.0, -99.0, 0.3254]",-74.1686,0.3772,0.3748,0.3772,0.3748,0.3772,548.4,27.8,684.7,108.6
SpatialBiGRU,SSM,moist,4,momentum,"[-99.0, -99.0, -99.0, 0.3254]",-74.1686,0.3694,0.3699,0.3694,0.3699,0.3694,548.4,28.7,685.1,108.0
SpatialBiGRU,SSM,moist,4,belief,"[-99.0, -99.0, -99.0, 0.3254]",-74.1686,0.3588,0.3583,0.3588,0.3583,0.3588,548.4,27.6,684.9,108.9
SpatialBiGRU,SSM,moist,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2489, 0.1342]",-74.2021,0.3691,0.3699,0.3691,0.3699,0.3691,771.6,28.7,910.6,110.3
SpatialBiGRU,SSM,moist,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2489, 0.1342]",-74.2021,0.3804,0.3841,0.3804,0.3841,0.3804,771.6,27.5,913.7,114.6
SpatialBiGRU,SSM,moist,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2489, 0.1342]",-74.2021,0.374,0.3737,0.374,0.3737,0.374,771.6,28.0,912.0,112.5
SpatialBiGRU,SSM,moist,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2489, 0.1342]",-74.2021,0.3632,0.367,0.3632,0.367,0.3632,771.6,28.9,912.6,112.2
GraphSAGE,GRAPH,moist,1,baseline,[0.6128],0.6128,0.6128,0.6525,0.6128,0.6525,0.6128,283.3,26.8,310.1,
GraphSAGE,GRAPH,moist,2,fedavg,"[-99.0, 0.378]",-49.311,0.4902,0.5034,0.4902,0.5034,0.4902,343.2,28.0,472.4,101.2
GraphSAGE,GRAPH,moist,2,weighted,"[-99.0, 0.378]",-49.311,0.4898,0.5024,0.4898,0.5024,0.4898,343.2,27.6,469.9,99.1
GraphSAGE,GRAPH,moist,2,momentum,"[-99.0, 0.378]",-49.311,0.4994,0.5097,0.4994,0.5097,0.4994,343.2,27.8,467.5,96.6
GraphSAGE,GRAPH,moist,2,belief,"[-99.0, 0.378]",-49.311,0.4975,0.5086,0.4975,0.5086,0.4975,343.2,28.3,468.4,97.0
GraphSAGE,GRAPH,moist,4,fedavg,"[-99.0, -99.0, -99.0, 0.1546]",-74.2114,0.3427,0.3419,0.3427,0.3419,0.3427,308.6,28.1,432.2,95.5
GraphSAGE,GRAPH,moist,4,weighted,"[-99.0, -99.0, -99.0, 0.1546]",-74.2114,0.3535,0.3517,0.3535,0.3517,0.3535,308.6,26.8,431.3,95.9
GraphSAGE,GRAPH,moist,4,momentum,"[-99.0, -99.0, -99.0, 0.1546]",-74.2114,0.3515,0.3507,0.3515,0.3507,0.3515,308.6,27.4,433.2,97.2
GraphSAGE,GRAPH,moist,4,belief,"[-99.0, -99.0, -99.0, 0.1546]",-74.2114,0.359,0.358,0.359,0.358,0.359,308.6,27.2,432.7,96.9
GraphSAGE,GRAPH,moist,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2156, 0.08]",-74.213,0.3497,0.3498,0.3497,0.3498,0.3497,474.6,27.9,599.8,97.3
GraphSAGE,GRAPH,moist,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.2156, 0.08]",-74.213,0.375,0.3752,0.375,0.3752,0.375,474.6,27.9,600.8,98.3
