arch,target,ablation,val_r2,elapsed_s,description
SpatialMamba,moist,no_temporal,0.5504,36.6,Remove temporal encoder — GCN only
SpatialMamba,moist,no_attention,0.1577,216.4,Remove attention — GRU only
SpatialMamba,moist,no_laplacian,0.154,715.9,Remove graph Laplacian loss (lam_smooth=0)
SpatialMamba,moist,no_uncertainty,0.0903,714.1,Remove uncertainty head — point prediction only
SpatialS4,moist,no_gcn,0.3732,469.6,Remove GCN — temporal only
SpatialS4,moist,no_temporal,0.5,35.7,Remove temporal encoder — GCN only
SpatialS4,moist,no_attention,0.5193,247.0,Remove attention — GRU only
SpatialS4,moist,no_laplacian,0.6457,469.0,Remove graph Laplacian loss (lam_smooth=0)
SpatialS4,moist,no_uncertainty,0.349,475.6,Remove uncertainty head — point prediction only
SpatialFuseMoE,moist,no_gcn,0.3703,1827.3,Remove GCN — temporal only
SpatialFuseMoE,moist,no_temporal,0.5268,1825.7,Remove temporal encoder — GCN only
SpatialFuseMoE,moist,no_attention,0.5268,1829.7,Remove attention — GRU only
SpatialFuseMoE,moist,no_laplacian,0.6396,1829.5,Remove graph Laplacian loss (lam_smooth=0)
SpatialFuseMoE,moist,no_uncertainty,0.3258,1829.8,Remove uncertainty head — point prediction only
