round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,worker_uncertainties,worker_angle_scales,alphas,betas,worker_losses,time_r2,time_rmse,elapsed
11,STGCN,8,1.5594326257705688,0.9529709916862393,0.7803754168953455,0.8191127424076988,"[0.8290214702193157, 0.7646271768577698, 0.7548536384385182, 0.8259628531520139, 0.8227122747164834, 0.895433208373106, 0.8430578765861989, 0.8172334409181847]","[2.5647672738815386, 2.2341972696923627, 2.564767273881539, 2.2341972696923618, 2.234197269692363, 2.279793132339145, 2.0852507850462056, 2.085250785046204]","[0.12498111140953713, 0.12498111140953713, 0.12502852480589421, 0.12498111140953713, 0.12498111140953713, 0.1249900766199416, 0.1250567584484693, 0.12500019448754635]","[0.9285070859216773, 0.9512517416328569, 0.9351559465279226, 0.926136172698843, 0.9448537646187661, 0.9269167749566202, 0.9402557755570637, 0.9360700846358361]","[0.07872609049081802, 1.6743367910385132, 0.0663292407989502, 0.3857456147670746, 0.8907230496406555, 0.1789972186088562, 0.28799566626548767, 0.44744834303855896]",0.9529709916862393,1.5594326257705688,106.66310358047485
12,STGCN,8,1.5580791234970093,0.9530525896378227,0.782204690495833,0.7975918765196119,"[0.7564965812890797, 0.8144487950205375, 0.7357273941655336, 0.8173655228365477, 0.8020378135254991, 0.777565994205489, 0.8257171441763232, 0.8513757669378851]","[2.4426354989347985, 2.279793132339145, 1.6476055585550256, 1.9462340660431248, 2.0852507850462056, 1.9859531286154337, 1.946234066043125, 2.393782788956102]","[0.1249906810851829, 0.12504253413884547, 0.1249906810851829, 0.1249906810851829, 0.1249906810851829, 0.12501337935005724, 0.1249906810851829, 0.1249906810851829]","[0.9267186695585051, 0.9265321934827574, 0.9615089849694223, 0.9429208385489842, 0.9395447931367443, 0.9440126876349774, 0.9372145008485049, 0.9195789032803502]","[1.9861249923706055, 1.0372542142868042, 0.8691689372062683, 1.9814934730529785, 2.552337408065796, 1.5429115295410156, -0.10737702250480652, 0.6876983046531677]",0.9530525896378227,1.5580791234970093,105.18233156204224
13,STGCN,8,1.5565073490142822,0.9531472629735903,0.7841361691974471,0.7748685976770926,"[0.7633365788222594, 0.8323630733505467, 0.7446276633582284, 0.742825752125885, 0.7664095878537488, 0.7572347437141516, 0.7971370876133261, 0.7950142945785952]","[1.729985836482777, 2.3937827889561025, 2.234197269692362, 2.0852507850462043, 2.393782788956102, 2.0852507850462056, 1.6953861197531217, 2.393782788956102]","[0.12508335814965665, 0.12497738208838446, 0.12497738208838446, 0.1250523493200366, 0.12497738208838446, 0.12497738208838446, 0.12497738208838446, 0.12497738208838446]","[0.9536782124283107, 0.919621239630681, 0.935995270928503, 0.9348156753359053, 0.9326099544338403, 0.9414765740056062, 0.9545201129020403, 0.9248542690847021]","[0.0591944120824337, 0.12691642343997955, 0.7383677363395691, 0.08526205271482468, 0.797280490398407, 2.7772939205169678, 1.4058371782302856, 1.255785346031189]",0.9531472629735903,1.5565073490142822,103.35042810440063
14,STGCN,8,1.5550175905227661,0.9532369050455273,0.7827148292637702,0.7915902439556439,"[0.788780677504446, 0.7622616250952845, 0.7360697140610182, 0.8272877669128517, 0.7834169252813958, 0.8628752946255221, 0.8077743019410301, 0.7642556462236026]","[1.6953861197531217, 1.8164851283069163, 1.5823603784362463, 2.0852507850462056, 2.2341972696923618, 1.8164851283069154, 2.026482784301463, 1.4768696865404969]","[0.12496805441458791, 0.12496805441458791, 0.1250785673832594, 0.12496805441458791, 0.1250889147056536, 0.12496805441458791, 0.12496805441458791, 0.12499224583814748]","[0.9512064907219441, 0.9368812248261875, 0.9666392885856068, 0.924655525225235, 0.918871231835134, 0.9235172467408339, 0.9235890679499247, 0.971493625443113]","[2.300816297531128, 1.5237641334533691, 0.0827421247959137, 0.2932167947292328, 0.20085640251636505, 0.47233545780181885, 3.3962185382843018, 2.1225688457489014]",0.9532369050455273,1.5550175905227661,105.89898109436035
15,STGCN,8,1.553560495376587,0.9533244992012773,0.7821921118376561,0.7977398607334574,"[0.7164531214765922, 0.793108850968504, 0.8078016912793912, 0.8197150417023467, 0.7702015980577751, 0.7981922502318655, 0.8834990549944678, 0.7929472771567165]","[1.9462340660431243, 1.729985836482778, 2.0852507850462056, 1.6953861197531213, 2.0852507850462065, 1.816485128306916, 1.6953861197531217, 2.1278069235165353]","[0.12500580871328373, 0.12509472172635303, 0.12497124118248912, 0.12497124118248912, 0.12497124118248912, 0.12497124118248912, 0.12499301750539096, 0.1250214873250158]","[0.9446313101451903, 0.9385697180999767, 0.9309098484247152, 0.9386874241216513, 0.9317540570613758, 0.9323444981535958, 0.9335743007530798, 0.9334839644700261]","[0.4992000162601471, -0.03748936951160431, 1.2506674528121948, 0.30314508080482483, 1.2269959449768066, 1.5619182586669922, 1.2323031425476074, 0.5751251578330994]",0.9533244992012773,1.553560495376587,103.99700093269348
16,STGCN,8,1.552092432975769,0.9534126687801634,0.7826139897597104,0.7927765910622293,"[0.8272323235989353, 0.7376035404377707, 0.7420374301767511, 0.7645447421904552, 0.8124780041721544, 0.7933686447676002, 0.8622531135538235, 0.8026949296003439]","[1.8164851283069166, 1.816485128306916, 1.5070098842249964, 2.5647672738815377, 1.946234066043125, 2.085250785046206, 1.8164851283069159, 1.8164851283069163]","[0.1249773835434148, 0.1249773835434148, 0.1249773835434148, 0.1249773835434148, 0.12504514458214702, 0.12498167629593304, 0.12499648932534112, 0.12506715562291956]","[0.9365322301510356, 0.9415512557182344, 0.976050960651205, 0.9129772028061972, 0.9335901564044747, 0.934778684869606, 0.9303664933080409, 0.9440146537905812]","[1.0682783126831055, 0.7377833724021912, 1.7865318059921265, 0.2506168782711029, 0.24225342273712158, 1.4174147844314575, 0.4826401174068451, 0.025475651025772095]",0.9534126687801634,1.552092432975769,103.52876281738281
17,STGCN,8,1.5506194829940796,0.9535010537738645,0.7830008714961546,0.78822504122171,"[0.7704059636546439, 0.75917726318644, 0.8242605388534805, 0.7719574187194199, 0.7427918502499686, 0.8071434870226389, 0.7798430591838783, 0.85022074890321]","[2.0852507850462048, 1.9462340660431245, 1.946234066043124, 2.085250785046206, 2.0852507850462056, 2.3937827889561025, 2.234197269692362, 1.729985836482777]","[0.12499106607498005, 0.12498937990706786, 0.1250071791133324, 0.12505474892061086, 0.12498937990706786, 0.12498937990706786, 0.12498948626280533, 0.12498937990706786]","[0.9341944789667309, 0.9399157668892344, 0.9398225628996933, 0.9408374592478888, 0.9370000430368252, 0.9242385659180646, 0.9289327145838248, 0.9402816346869245]","[0.07115491479635239, 0.48062586784362793, 1.654828429222107, 0.4338182508945465, 1.9133996963500977, 1.4588366746902466, 1.5625362396240234, 0.9652332663536072]",0.9535010537738645,1.5506194829940796,103.91185450553894
18,STGCN,8,1.549436092376709,0.953571996069323,0.7813504128442356,0.8076422018325226,"[0.7689320745458484, 0.8055554359069386, 0.788212112389638, 0.7872644406863691, 0.8904946174555909, 0.8408835958682771, 0.8343912617792278, 0.7454040760282905]","[1.9462340660431248, 1.582360378436247, 2.2341972696923618, 2.3937827889561034, 1.8164851283069157, 2.0852507850462056, 1.9462340660431239, 1.946234066043124]","[0.1249826552699199, 0.1249871295351996, 0.1249826552699199, 0.12505386660035078, 0.12501053171410711, 0.1250178510706629, 0.1249826552699199, 0.1249826552699199]","[0.9448969867156483, 0.9581860413626382, 0.9234349488296457, 0.9288646253289585, 0.9312802177028789, 0.9313247561082998, 0.930898938691742, 0.9447844443393936]","[1.4590457677841187, 0.9518430829048157, 0.6048346161842346, 0.016694029793143272, 0.500331699848175, 0.2632439136505127, 0.8174252510070801, 1.701189398765564]",0.953571996069323,1.549436092376709,105.40325927734375
19,STGCN,8,1.5480748414993286,0.9536535409049245,0.7835558786397566,0.7816955454146279,"[0.7759790098665204, 0.7785730264625081, 0.7019735425458715, 0.7677582449134848, 0.752347649665165, 0.76511833881175, 0.838594311990072, 0.8732202390616512]","[1.9462340660431243, 1.8164851283069157, 1.7299858364827776, 2.564767273881538, 2.0852507850462048, 2.393782788956104, 1.8535562533744048, 1.946234066043125]","[0.1250532998023869, 0.12497256797665271, 0.12499252229305202, 0.12497674531803629, 0.12502371778444762, 0.12497256797665271, 0.12502445387140412, 0.12498412497736752]","[0.9346828960406717, 0.9500534777535499, 0.9659783784175854, 0.9192548543271317, 0.9299770390427371, 0.9369141863968709, 0.9358436024821388, 0.9278069818330605]","[-0.04390619322657585, 0.4456767141819, 0.9704974293708801, -0.028392456471920013, -0.14078272879123688, 1.5643830299377441, 0.8656291365623474, 0.024456242099404335]",0.9536535409049245,1.5480748414993286,103.48377299308777
20,STGCN,8,1.5468745231628418,0.9537253861720734,0.7833109360126818,0.7845772233802141,"[0.7574778316272435, 0.7286360461059593, 0.8009788778805551, 0.7653244352405554, 0.7740782226185986, 0.8078594597026096, 0.7825656038924335, 0.8596973099737579]","[1.8164851283069157, 2.0852507850462048, 2.0852507850462056, 1.816485128306916, 2.2341972696923618, 1.695386119753122, 1.8164851283069157, 2.2797931323391447]","[0.1249681168719831, 0.1249681168719831, 0.1250721623989394, 0.1249681168719831, 0.1249681168719831, 0.1250145672983078, 0.12501398509644768, 0.12502681771837265]","[0.9400285780355332, 0.9301614495215689, 0.9305521508655785, 0.9432498417578634, 0.9297895862829971, 0.9475690679326599, 0.9457406189815977, 0.9218509474051347]","[1.2647850513458252, 0.41501832008361816, 0.7876165509223938, 2.0820791721343994, 6.643310546875, 0.32762816548347473, 0.3783043324947357, 1.2097947597503662]",0.9537253861720734,1.5468745231628418,104.20139980316162
21,STGCN,8,1.5456935167312622,0.9537960156734167,0.7811842336513659,0.8095972511604006,"[0.7671936124380986, 0.7290415647595048, 0.8011655021029148, 0.8602280779215838, 0.807644024580393, 0.8196267943251879, 0.8555154626806751, 0.8363629704748464]","[1.9462340660431245, 1.946234066043125, 2.393782788956103, 2.2341972696923635, 1.6146534473839245, 1.8164851283069159, 1.8164851283069157, 2.393782788956103]","[0.12499152214310977, 0.1250286126854862, 0.12502225445585521, 0.12499152214310977, 0.12499152214310977, 0.12499152214310977, 0.12499152214310977, 0.12499152214310977]","[0.9471686579329952, 0.9482883305205178, 0.9213431279075044, 0.9267121122036637, 0.9479761052586494, 0.9495618484910737, 0.9405069482119478, 0.9181406094834459]","[1.126663088798523, 0.055026594549417496, 0.2742019295692444, 0.5421701073646545, 0.5465914011001587, 1.7920823097229004, 0.7837894558906555, 1.6808161735534668]",0.9537960156734167,1.5456935167312622,108.02314186096191
22,STGCN,8,1.5445446968078613,0.9538646739816581,0.7817203583054096,0.8032899022892983,"[0.7423283922544206, 0.8120060097709305, 0.7153529538783608, 0.8179748693825297, 0.830742814893898, 0.860179677901661, 0.8539473203759207, 0.793787179856665]","[1.9462340660431257, 2.3937827889561025, 1.6953861197531215, 2.0852507850462056, 2.085250785046204, 2.234197269692363, 2.2797931323391443, 1.9462340660431248]","[0.1250124956692708, 0.12501359002734072, 0.1250274443511445, 0.1249892939904488, 0.1249892939904488, 0.1249892939904488, 0.1249892939904488, 0.1249892939904488]","[0.9525513921922708, 0.9285543324099766, 0.9644351236844761, 0.9298147190652594, 0.9292183302738559, 0.9266382371000441, 0.9267455762850035, 0.9402979900646228]","[0.4249434471130371, 0.2794080078601837, 0.0326438769698143, -0.18796326220035553, 0.4388730823993683, 8.432714462280273, 4.165924072265625, 1.0960980653762817]",0.9538646739816581,1.5445446968078613,105.63680338859558
23,STGCN,8,1.543290376663208,0.953939570466872,0.7826620806505988,0.7922108158753073,"[0.7481921310651994, 0.7006961867578471, 0.7927990165458649, 0.8052658383771566, 0.8153198191048342, 0.7850868260323955, 0.8084808370025044, 0.8818458721166554]","[1.9462340660431248, 1.946234066043125, 2.4426354989347985, 2.94, 2.234197269692362, 1.853556253374404, 2.0852507850462065, 1.9462340660431248]","[0.12498250838857711, 0.12498250838857711, 0.125064741843873, 0.12498250838857711, 0.12500107297123852, 0.12499625516852284, 0.12498250838857711, 0.12500789646205723]","[0.9632314823132965, 0.9555719214091354, 0.9302655706543563, 0.9095333015291316, 0.9317392033015323, 0.9418004106040992, 0.9374847535627994, 0.9426892523075414]","[1.2280319929122925, 0.1841118335723877, 0.04682498052716255, 0.28887155652046204, 0.35572054982185364, -0.09193897247314453, 7.688587188720703, 0.5461756587028503]",0.953939570466872,1.543290376663208,105.0050585269928
24,STGCN,8,1.5420490503311157,0.9540136407034804,0.7827868921388845,0.7907424454248874,"[0.7559298763176494, 0.717863834377644, 0.7740271928138825, 0.7860749534686751, 0.7612539438015201, 0.8253602053526277, 0.8479506065998927, 0.8574789506672073]","[1.6953861197531217, 1.9859531286154328, 1.9859531286154337, 2.4426354989347976, 2.0852507850462056, 1.7299858364827774, 1.8164851283069157, 1.9462340660431252]","[0.12498361278725349, 0.12503719546163686, 0.1250100666572269, 0.12496685273613797, 0.12496120620586953, 0.12498092214765832, 0.12506441632863516, 0.12499572767558181]","[0.9715709725412902, 0.942744098465883, 0.9313790159395238, 0.921107055756757, 0.9379648153667393, 0.9452552048458359, 0.9256684939508346, 0.9263502315609373]","[0.7129135727882385, 0.19781436026096344, 0.44973263144493103, 1.0719205141067505, 2.2408106327056885, 1.4396494626998901, 0.5056058764457703, 0.3941398859024048]",0.9540136407034804,1.5420490503311157,105.1526951789856
