round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,worker_uncertainties,worker_angle_scales,alphas,betas,worker_losses,time_r2,time_rmse,elapsed
11,SpatialMamba,8,1.548681616783142,0.9536172066224912,0.7860955902408105,0.7518165854022281,"[0.753560152303774, 0.7087818186457383, 0.7423143301280822, 0.6602979098054732, 0.7661806330588852, 0.7515345332567521, 0.8192688034450605, 0.8125945025740594]","[1.9859531286154335, 2.0852507850462056, 2.0852507850462034, 1.946234066043124, 1.3395643415333303, 1.8913839320146986, 1.6953861197531213, 1.8164851283069157]","[0.12465042784344463, 0.12465042784344463, 0.12522518140976938, 0.1251268644938184, 0.12539636532484338, 0.12465042784344463, 0.1251448800083895, 0.1251554252328455]","[0.9305552727404331, 0.9297635755071477, 0.9280409465575479, 0.9568974937549648, 0.9641264086747126, 0.9234707065668897, 0.9322459027028847, 0.91566147302661]","[0.8757572770118713, 1.6884636878967285, 0.5206641554832458, 0.27243855595588684, 0.7542442679405212, 0.30757617950439453, 1.5365447998046875, 0.11076271533966064]",0.9536172066224912,1.548681616783142,285.7910451889038
12,SpatialMamba,8,1.545348048210144,0.953816665986782,0.7857678001799654,0.7556729390592303,"[0.6905898302299388, 0.7082933570788531, 0.700090535794731, 0.7860074155820684, 0.7263812366975755, 0.7641778123884947, 0.8296900279988952, 0.8401532967032851]","[1.6953861197531221, 2.2341972696923627, 1.8164851283069157, 1.8164851283069163, 1.6953861197531217, 1.9462340660431243, 2.1278069235165353, 2.234197269692362]","[0.1246972293707653, 0.1246972293707653, 0.1252409298439124, 0.12528266152355147, 0.12546939370941806, 0.12502346183381818, 0.12489186497700393, 0.1246972293707653]","[0.9444467867157604, 0.9346701875181508, 0.9439416032340584, 0.9366990524981932, 0.9485440023813412, 0.9337863884870328, 0.9181049428718513, 0.916219550525183]","[0.3236464858055115, 1.3285071849822998, 0.031138474121689796, 0.49966731667518616, 0.6710476875305176, 0.9715086817741394, 0.06703689694404602, 0.8919976353645325]",0.953816665986782,1.545348048210144,284.97851729393005
13,SpatialMamba,8,1.5421439409255981,0.9540079838514195,0.7846688515243655,0.7686017467721711,"[0.6980040357108008, 0.798651689789152, 0.7050580492936159, 0.7869863728011416, 0.7973026204850637, 0.7023175933465073, 0.8430055444761443, 0.8174880682749432]","[1.8164851283069163, 1.8164851283069159, 2.747964936301649, 2.2341972696923627, 2.0852507850462056, 1.946234066043124, 1.8164851283069157, 2.085250785046206]","[0.1253237670652822, 0.12503183520239797, 0.12470193779637595, 0.12521221029942087, 0.12561157505702356, 0.12470193779637595, 0.12470193779637595, 0.12471479898674764]","[0.9548566248192374, 0.9313202518770943, 0.9290775359522908, 0.9231725098897005, 0.928702421933389, 0.9363823259467954, 0.9425727224182985, 0.9269931816832797]","[0.13819295167922974, 0.25547629594802856, 1.111262321472168, 0.024838117882609367, -0.039774391800165176, 1.815137505531311, 0.8723437190055847, 0.3222438097000122]",0.9540079838514195,1.5421439409255981,287.812618970871
14,SpatialMamba,8,1.5392240285873413,0.9541819800042172,0.7829328778618346,0.7890249663313569,"[0.7332707611749751, 0.7336682066225366, 0.8021358251953492, 0.69336232183489, 0.8395887345925581, 0.804709000678783, 0.9290621662187616, 0.7764027143330016]","[2.393782788956102, 2.1278069235165353, 1.8535562533744032, 2.234197269692361, 2.2341972696923635, 2.8040458533690304, 2.0852507850462048, 2.085250785046205]","[0.1248858290205667, 0.1250056545876813, 0.1254117391906827, 0.1251534611188025, 0.1248858290205667, 0.1248858290205667, 0.1248858290205667, 0.1248858290205667]","[0.9410386555029043, 0.9419129288780951, 0.9527001637694792, 0.9448166533189918, 0.9378717634659286, 0.911026960909345, 0.9210176893371523, 0.9383437208114981]","[1.2042566537857056, 0.13128447532653809, 0.014766351319849491, 0.19843943417072296, 1.983700156211853, 0.9711616635322571, 2.342865228652954, 0.22460252046585083]",0.9541819800042172,1.5392240285873413,286.9492769241333
15,SpatialMamba,8,1.536041259765625,0.9543712647071072,0.7842476163367273,0.7735574548620304,"[0.765985493521046, 0.7319488544993091, 0.7785310489773911, 0.7688648764340374, 0.8083625669806216, 0.8290893838036343, 0.7636450331302518, 0.7420323815499521]","[1.9462340660431248, 1.9859531286154333, 1.9859531286154328, 1.9462340660431239, 2.085250785046205, 2.393782788956103, 2.2341972696923618, 1.6953861197531215]","[0.12485956923083974, 0.12485956923083974, 0.1252995323259458, 0.12485956923083974, 0.12485956923083974, 0.12485956923083974, 0.12485956923083974, 0.12554305228901583]","[0.9363556310448685, 0.945771377155938, 0.9302161649140399, 0.9473722136981721, 0.9302594279087371, 0.917319626022208, 0.9224717259600665, 0.9488801566508499]","[0.4743856191635132, 0.9622462391853333, 0.07873711735010147, 2.0096628665924072, 8.276993751525879, -0.013503278605639935, 1.0904146432876587, 0.6173978447914124]",0.9543712647071072,1.536041259765625,284.22209644317627
16,SpatialMamba,8,1.533023715019226,0.9545503717977083,0.7844067594855204,0.7716851825232882,"[0.7021758016832088, 0.7640132958225623, 0.7914327052793615, 0.6928394637742177, 0.7613998244039725, 0.8001593543074176, 0.8255392411111424, 0.8359217738044231]","[2.0852507850462043, 1.6146534473839262, 2.2341972696923618, 2.085250785046205, 1.8535562533744054, 1.8164851283069159, 1.8164851283069157, 2.2341972696923627]","[0.12473084720236786, 0.1248674304455177, 0.12486485718457632, 0.12473084720236786, 0.12569440704643847, 0.1256499165139961, 0.12473084720236786, 0.12473084720236786]","[0.9306560413997026, 0.9394211398459866, 0.9214644199829705, 0.9399694083505232, 0.9408992890435959, 0.9428183429341378, 0.9364640133145574, 0.918201874335434]","[1.5370731353759766, 0.22392995655536652, 0.13725580275058746, 0.2140364646911621, -0.06409565359354019, 0.09838926792144775, 1.2371875047683716, 1.3516144752502441]",0.9545503717977083,1.533023715019226,283.1246428489685
17,SpatialMamba,8,1.5298444032669067,0.9547386856584866,0.7845975093467857,0.769441066508403,"[0.6759179506832835, 0.7437850634420938, 0.758769909084082, 0.7383846855849628, 0.84412021632095, 0.8053112430734484, 0.8082826985796155, 0.7809567652987879]","[1.7299858364827772, 1.8164851283069159, 2.2341972696923613, 1.9462340660431245, 2.0852507850462056, 2.0852507850462048, 2.085250785046205, 1.8535562533744043]","[0.12486320501743359, 0.12511525939905457, 0.12484336658170343, 0.12484336658170343, 0.12484336658170343, 0.12540340135327846, 0.12484336658170343, 0.1252446679034197]","[0.947547350093322, 0.9436086695566042, 0.9244653609035731, 0.9345183497588011, 0.9268618586327437, 0.921572676404196, 0.931309027077264, 0.9431636748175218]","[0.5288970470428467, 0.17704086005687714, 0.18103952705860138, 0.31820419430732727, 1.583701729774475, 0.15708769857883453, 1.283270239830017, 0.30630549788475037]",0.9547386856584866,1.5298444032669067,285.55091619491577
18,SpatialMamba,8,1.5267257690429688,0.9549230276241821,0.7857214831990214,0.7562178447173947,"[0.7187656752738134, 0.7536200592001472, 0.7270228141867865, 0.7527086638529417, 0.726440895974433, 0.7905972789749484, 0.7542788372098874, 0.8263085330662007]","[1.816485128306917, 2.085250785046205, 2.0852507850462048, 2.564767273881538, 2.234197269692364, 1.9462340660431239, 2.2341972696923613, 1.6953861197531215]","[0.12516503856085628, 0.12463397374140789, 0.12538917484205261, 0.1250282249271834, 0.12535533093584286, 0.12463397374140789, 0.12516030950984114, 0.12463397374140789]","[0.9474845652999841, 0.9324739293134776, 0.9368349618263163, 0.9148057211437743, 0.9343268627925339, 0.9339152408826364, 0.930405290792836, 0.9428210825924005]","[0.32058167457580566, 0.666297197341919, -0.05119948461651802, 0.48009157180786133, -0.05360408499836922, 4.790811061859131, 0.049332424998283386, -0.05437597632408142]",0.9549230276241821,1.5267257690429688,283.8243408203125
19,SpatialMamba,8,1.5237797498703003,0.9550968260674919,0.7853690485525582,0.7603641346757859,"[0.7578402652060113, 0.7021923971692364, 0.7346381009120142, 0.6999809564250635, 0.699363024519956, 0.845041051865403, 0.8038700163707055, 0.8399872649378969]","[2.3937827889561016, 1.816485128306916, 1.6953861197531215, 1.9859531286154335, 2.0852507850462034, 2.564767273881538, 1.853556253374404, 2.2341972696923613]","[0.12475584045567029, 0.1250867269279702, 0.1254034242012164, 0.12475584045567029, 0.12475584045567029, 0.12515234931342953, 0.12475616275536336, 0.12533381543500974]","[0.9258946263905836, 0.9611801385759919, 0.9556395202967626, 0.9574503586624561, 0.9418461188850499, 0.9076192366198016, 0.9422191931720376, 0.9187625858813665]","[0.9262928366661072, 0.15129119157791138, 0.14078789949417114, 2.571613073348999, 1.9187740087509155, -0.017397942021489143, 1.1030880212783813, -0.11571452766656876]",0.9550968260674919,1.5237797498703003,285.87053203582764
20,SpatialMamba,8,1.5207407474517822,0.9552757561048204,0.7853379960212382,0.7607294585736672,"[0.7007936797491345, 0.7675302018420547, 0.731013401729038, 0.7395868276081825, 0.7455073112074772, 0.820178748910864, 0.8142701438210341, 0.7669553537215534]","[1.4352475087857113, 2.393782788956102, 1.946234066043123, 2.564767273881538, 1.5823603784362459, 2.0852507850462048, 2.3937827889561025, 2.2341972696923635]","[0.12480894366940147, 0.12480894366940147, 0.125262304766513, 0.12480894366940147, 0.12480894366940147, 0.1258840332170782, 0.12480894366940147, 0.12480894366940147]","[0.9887347659418582, 0.918830868751342, 0.9451295611308123, 0.9157088221771289, 0.9782240626512485, 0.9210359552174519, 0.9192960103275349, 0.9340816936942384]","[0.028192905709147453, 0.8089244365692139, 0.31441381573677063, 0.34095820784568787, 2.1296987533569336, -0.10790619254112244, 2.043030023574829, 2.2293102741241455]",0.9552757561048204,1.5207407474517822,284.2536668777466
21,SpatialMamba,8,1.517812728881836,0.9554478135242827,0.7843265520652777,0.7726287992320264,"[0.7323243280354959, 0.793809255446906, 0.750726617220096, 0.7665466201471289, 0.7881544759882146, 0.7606858396864119, 0.7820021044065086, 0.8067811529254502]","[1.8164851283069168, 2.3937827889561025, 2.0852507850462065, 2.0852507850462056, 2.5647672738815395, 2.442635498934798, 2.5647672738815386, 1.582360378436247]","[0.12521964107912661, 0.1251181522505854, 0.1248693724156662, 0.125105137628609, 0.12468489296228341, 0.12518905781734846, 0.12512885288409747, 0.12468489296228341]","[0.9689345312008123, 0.9245647788794883, 0.9425434393606454, 0.9382979184160857, 0.9176205500585304, 0.9246765180250301, 0.925761348091427, 0.9478587982660326]","[0.21201671659946442, 0.459606796503067, 0.47687315940856934, -0.044537801295518875, 1.7969279289245605, 0.4841454327106476, 0.5858818292617798, 0.26305556297302246]",0.9554478135242827,1.517812728881836,283.6834726333618
22,SpatialMamba,8,1.5148613452911377,0.9556209096562778,0.7873312059514733,0.7372799299826673,"[0.7053568519286355, 0.6824935126103193, 0.7740243680399881, 0.6839672735398856, 0.7697536021955415, 0.7047952014145631, 0.7931386842678977, 0.7847099458645078]","[1.816485128306917, 2.2797931323391456, 2.0852507850462056, 1.6953861197531217, 2.2341972696923627, 1.8164851283069159, 2.234197269692361, 2.393782788956102]","[0.12501324140431244, 0.1253048590025342, 0.12479386122442528, 0.1252993143669845, 0.12475015261236387, 0.12475015261236387, 0.12475015261236387, 0.12533826616465196]","[0.9495244504227747, 0.9265484961114311, 0.9316994507411873, 0.9536843361583168, 0.9251727837735889, 0.9595056744214131, 0.9189066429918618, 0.9220396955052532]","[0.10426020622253418, 0.08525127917528152, 0.7175040245056152, 0.06717730313539505, 1.3421446084976196, 5.052435874938965, -0.07324729114770889, -0.023853568360209465]",0.9556209096562778,1.5148613452911377,283.48684334754944
23,SpatialMamba,8,1.5119622945785522,0.955790609316326,0.7854017158962032,0.7599798129858443,"[0.701945204511628, 0.708081507638626, 0.6861498592990182, 0.7804983081607746, 0.8336668148851387, 0.7795677077407561, 0.7919886989579694, 0.7979404026928428]","[1.816485128306916, 1.9859531286154326, 1.582360378436246, 2.7479649363016487, 1.6953861197531217, 2.5647672738815377, 1.6953861197531217, 2.234197269692362]","[0.12485762061158637, 0.12485762061158637, 0.12485762061158637, 0.12529484338549798, 0.12485762061158637, 0.12515313439565134, 0.12485762061158637, 0.12526391916091875]","[0.9490865613846666, 0.9500232418363919, 0.9773913653131001, 0.9092139198218924, 0.9410642910264192, 0.9160320565458226, 0.9633762050740926, 0.9176639418335193]","[1.1023789644241333, 0.8400787711143494, 0.42813840508461, 0.2812539041042328, 0.4821367561817169, 0.29590344429016113, 2.7689645290374756, 0.65059894323349]",0.955790609316326,1.5119622945785522,285.40013885498047
24,SpatialMamba,8,1.5090810060501099,0.9559589427152871,0.7835878708180319,0.7813191668466823,"[0.7268338435871188, 0.8126704639726167, 0.7485000520921459, 0.7736159216147649, 0.8144158791355202, 0.768563734928538, 0.8027612421116378, 0.8031921973311167]","[2.2341972696923613, 1.9462340660431239, 2.0852507850462043, 1.5070098842249966, 2.5647672738815372, 2.234197269692362, 1.8164851283069163, 1.8164851283069163]","[0.12479207520650162, 0.12479207520650162, 0.1250209858163867, 0.12479207520650162, 0.12479207520650162, 0.12523255369537062, 0.12553904301226704, 0.12503911664996917]","[0.9290594775730241, 0.9330567256217966, 0.9376306810038683, 0.9564836208415302, 0.9152232034921034, 0.9257099379806437, 0.9452980605424659, 0.93820403525926]","[0.36183497309684753, 2.4925358295440674, 0.3404691517353058, 3.82340931892395, 1.4044538736343384, 0.5579938292503357, -0.20286214351654053, 0.5797632336616516]",0.9559589427152871,1.5090810060501099,283.55087423324585
