arch,n_workers,round,global_rmse,global_r2,uncertainty_U,gamma,round_time_s,ideal_worker_time_s,worker_1_loss,worker_1_alpha,worker_1_beta,worker_1_stability,worker_1_progress,worker_1_consensus,worker_2_loss,worker_2_alpha,worker_2_beta,worker_2_stability,worker_2_progress,worker_2_consensus,worker_3_loss,worker_3_alpha,worker_3_beta,worker_3_stability,worker_3_progress,worker_3_consensus,worker_4_loss,worker_4_alpha,worker_4_beta,worker_4_stability,worker_4_progress,worker_4_consensus,worker_5_loss,worker_5_alpha,worker_5_beta,worker_5_stability,worker_5_progress,worker_5_consensus,worker_6_loss,worker_6_alpha,worker_6_beta,worker_6_stability,worker_6_progress,worker_6_consensus,worker_7_loss,worker_7_alpha,worker_7_beta,worker_7_stability,worker_7_progress,worker_7_consensus,worker_8_loss,worker_8_alpha,worker_8_beta,worker_8_stability,worker_8_progress,worker_8_consensus
STGCN,1,11,1.0633,0.827,0.7629,0.6281,9.53,9.53,1.0322,1.0,0.0,0.1842,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,12,0.8276,0.8952,0.7268,0.7882,9.95,9.95,0.0449,1.0,0.0,0.0123,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,13,0.7187,0.921,0.7252,0.7884,9.17,9.17,-0.084,1.0,0.0,0.1342,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,14,0.908,0.8738,0.7191,0.6311,9.29,9.29,1.4539,1.0,0.0,0.0494,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,15,0.8697,0.8843,0.7417,0.6296,9.51,9.51,0.4326,1.0,0.0,0.1485,0.0683,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,16,0.8766,0.8824,0.7388,0.6298,9.4,9.4,-0.4533,1.0,0.0,0.103,3.8045,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,17,0.6788,0.9295,0.7124,0.7894,9.46,9.46,-0.1875,1.0,0.0,0.1607,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,18,0.7761,0.9078,0.6937,0.6328,9.19,9.19,0.1443,1.0,0.0,0.1367,0.8847,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,1,2.5553,0.0008,1.107,0.7559,15.7,7.85,0.0768,0.5,0.6123,0.1079,0.0,0.2673,1.0829,0.5,0.5986,0.2213,0.0,0.2673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,2,2.5718,-0.0122,1.1172,0.755,14.43,7.21,0.7752,0.4889,0.6313,0.0787,0.0,0.2446,-0.1005,0.5111,0.5994,0.1479,1.2317,0.2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,3,2.5121,0.0342,1.092,0.7572,14.92,7.46,0.4893,0.5,0.5691,0.1433,0.0,0.2677,1.4308,0.5,0.6515,0.0605,0.0,0.2677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,4,2.1895,0.2664,1.0325,0.7622,14.91,7.46,0.3288,0.503,0.5406,0.0466,0.7267,0.3552,0.3788,0.497,0.6017,-0.0085,0.0,0.3552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,5,1.4598,0.6739,0.9733,0.7673,15.34,7.67,0.2225,0.5018,0.4505,0.0176,0.7097,0.5669,-0.0373,0.4982,0.4835,-0.0291,1.0406,0.5669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,6,1.1721,0.7898,0.9199,0.7718,14.63,7.31,0.5441,0.4446,0.5188,0.2256,0.0,0.4201,-0.2741,0.5554,0.562,0.1478,3.5834,0.4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,7,1.0772,0.8224,0.8651,0.7765,13.95,6.97,0.1305,0.5,0.6198,0.0821,0.0,0.3087,1.4493,0.5,0.5616,0.0577,0.0,0.3087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,8,0.8048,0.9009,0.8556,0.7773,13.94,6.97,-0.0772,0.5156,0.6193,0.1477,1.8465,0.2286,0.3185,0.4844,0.6229,0.0479,0.0,0.2286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,9,0.9392,0.865,0.7845,0.6267,14.81,7.41,0.8324,0.5,0.6382,0.1203,0.0,0.1334,0.3605,0.5,0.6806,0.1044,0.0,0.1334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,10,0.7919,0.904,0.8225,0.7801,14.71,7.35,-0.3069,0.5044,0.6594,0.0729,1.5334,0.1584,-0.2355,0.4956,0.6386,-0.0249,2.2624,0.1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,11,0.8782,0.882,0.8328,0.6234,14.05,7.03,0.0798,0.501,0.6363,0.0341,0.7165,0.1636,-0.26,0.499,0.6576,0.1622,0.0008,0.1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,12,0.8352,0.8933,0.8152,0.6246,13.99,7.0,0.0581,0.5022,0.6285,0.0926,0.9622,0.0993,1.1587,0.4978,0.7246,0.1337,0.0,0.0993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,13,1.0212,0.8404,0.8126,0.6247,14.45,7.23,1.3908,0.5,0.6265,0.1294,0.0,0.2114,0.4065,0.5,0.6293,0.1227,0.0,0.2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,14,0.8334,0.8937,0.8246,0.6239,14.19,7.1,0.0455,0.4985,0.6701,0.1651,0.0,0.0292,-0.2808,0.5015,0.7268,0.1005,2.0427,0.0292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,2,15,0.7841,0.9059,0.8311,0.7794,15.39,7.69,0.103,0.4887,0.6576,0.0206,0.5994,0.1348,-0.2687,0.5113,0.6579,0.0851,4.0916,0.1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
