round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,worker_uncertainties,worker_angle_scales,alphas,betas,worker_losses,time_r2,time_rmse,elapsed
11,STGCN,4,1.5584607124328613,0.953029590417707,0.7819711822567834,0.800339032273136,"[0.7649298703678876, 0.7821656668181329, 0.8570291670837389, 0.7972314248227846]","[2.2341972696923613, 1.9462340660431243, 1.946234066043125, 2.4426354989347985]","[0.25, 0.25, 0.25, 0.25]","[0.8789285875182162, 0.9034397548182075, 0.8573395990884896, 0.8387444583887621]","[1.1112120151519775, 1.2299872636795044, 1.3098487854003906, 1.0642707347869873]",0.953029590417707,1.5584607124328613,53.93836760520935
12,STGCN,4,1.5568156242370605,0.9531286959870663,0.7849673217714824,0.7650903321002065,"[0.7723387419452873, 0.7530544521794279, 0.8011098020485216, 0.7338583322275892]","[2.393782788956103, 1.3784117074377977, 2.5647672738815372, 2.127806923516535]","[0.2499838100788868, 0.25004856976333967, 0.2499838100788868, 0.2499838100788868]","[0.8469675002888327, 0.9405905377753674, 0.8247667506991692, 0.8978707167720537]","[0.7715098857879639, 0.053113363683223724, 1.983521819114685, 0.6659929156303406]",0.9531286959870663,1.5568156242370605,55.035526514053345
13,STGCN,4,1.5552887916564941,0.9532205866355657,0.782653022277009,0.7923173849763653,"[0.7319797942620696, 0.8725182994441323, 0.7987312372657933, 0.7660402089334659]","[1.6953861197531224, 2.2341972696923618, 2.085250785046206, 1.9859531286154342]","[0.2501471521960333, 0.2499109117751257, 0.2499109117751257, 0.2500310242537153]","[0.9356442125945023, 0.8228587495074349, 0.8681147882362023, 0.8761604238124411]","[0.1478557139635086, 0.30452191829681396, 0.7603268027305603, 0.07324743270874023]",0.9532205866355657,1.5552887916564941,54.10385537147522
14,STGCN,4,1.5540493726730347,0.9532951231124587,0.784357029999605,0.7722702352987647,"[0.7037527303230098, 0.7839663494835872, 0.8198991891279311, 0.7814626722605308]","[1.6953861197531217, 1.8535562533744052, 2.127806923516534, 2.085250785046204]","[0.24998933626116893, 0.24998872977823414, 0.25003320418236286, 0.24998872977823414]","[0.9132868967017053, 0.8844629602574807, 0.8270068672363666, 0.8641618575635954]","[1.3428583145141602, 1.9355571269989014, 0.0823793113231659, 2.4877827167510986]",0.9532951231124587,1.5540493726730347,53.248838901519775
15,STGCN,4,1.5524488687515259,0.953391271892165,0.7821892752160193,0.7977732327527127,"[0.7992728832364684, 0.7600580792342971, 0.8528263349711735, 0.7789356335689118]","[2.234197269692364, 1.8535562533744052, 1.9462340660431248, 2.234197269692362]","[0.24999168905424654, 0.2500307933901194, 0.24998875877781698, 0.24998875877781698]","[0.8563920769840576, 0.9054390228063636, 0.859517374589546, 0.852627925956756]","[0.14947839081287384, 0.06576762348413467, 5.18082332611084, 1.069409966468811]",0.953391271892165,1.5524488687515259,53.70365810394287
16,STGCN,4,1.5508614778518677,0.9534865413072839,0.7849453728678074,0.7653485544963837,"[0.7946454235558008, 0.7321882251316623, 0.7934905402704768, 0.7410700290275947]","[2.279793132339147, 2.1712315546087098, 1.8164851283069166, 1.8164851283069163]","[0.24980694219689956, 0.2501074941803385, 0.2500827119469865, 0.25000285167577546]","[0.8498957718854668, 0.8753770288732163, 0.8549886424791424, 0.8868126276344549]","[0.5040877461433411, 0.07074424624443054, 0.4114794135093689, -0.012595546431839466]",0.9534865413072839,1.5508614778518677,54.33505868911743
17,STGCN,4,1.5494060516357422,0.9535738020127038,0.7842620060901754,0.773388163644996,"[0.72661048268036, 0.7922670473800022, 0.7978079628130746, 0.776867161706547]","[1.4768696865404973, 2.393782788956101, 2.5647672738815386, 1.9462340660431248]","[0.2500197427730414, 0.24999341907565287, 0.24999341907565287, 0.24999341907565287]","[0.9733078640385228, 0.8362143240978879, 0.8350115949595561, 0.8780965762013655]","[0.48182183504104614, 1.375320315361023, 3.7607622146606445, 1.246972918510437]",0.9535738020127038,1.5494060516357422,53.354241371154785
18,STGCN,4,1.5480046272277832,0.9536577459201496,0.7836551619791066,0.7805275061281582,"[0.8048793808201721, 0.7753693465429395, 0.8000698394472663, 0.7417914577022546]","[2.1278069235165358, 2.0852507850462048, 2.279793132339145, 1.5823603784362466]","[0.24991053589621443, 0.24995405187741643, 0.2501289405893706, 0.2500064716369986]","[0.8465573104242512, 0.8784359179367469, 0.8414417235646746, 0.9166711648282956]","[1.1263002157211304, 0.7584701776504517, 0.27900630235671997, -0.04353667423129082]",0.9536577459201496,1.5480046272277832,54.101378440856934
19,STGCN,4,1.5466285943984985,0.9537400963481417,0.7865567052367266,0.7463917030973333,"[0.7495360989733271, 0.7395352865970828, 0.7939469904681671, 0.7025484363507561]","[2.0852507850462034, 1.7299858364827776, 2.0852507850462056, 2.085250785046204]","[0.24998261785611836, 0.24998261785611836, 0.24998261785611836, 0.2500521464316449]","[0.8669077931127406, 0.8907169460844626, 0.8507775047108057, 0.8608453913885923]","[0.20077110826969147, 0.626758873462677, 1.2011773586273193, 0.016938859596848488]",0.9537400963481417,1.5466285943984985,54.64356184005737
20,STGCN,4,1.5452418327331543,0.953823019248382,0.7854781853225901,0.75908017267541,"[0.7046130421246591, 0.6890427601757072, 0.8185638387103455, 0.8241010496909275]","[1.9859531286154337, 2.085250785046205, 2.2341972696923635, 2.0852507850462056]","[0.24997471017144496, 0.25007586948566507, 0.24997471017144496, 0.24997471017144496]","[0.874774464107902, 0.8713567800481511, 0.8732204292927612, 0.8470434390787979]","[0.4917082190513611, 0.26802122592926025, 4.181398391723633, 1.3273248672485352]",0.953823019248382,1.5452418327331543,54.219176292419434
21,STGCN,4,1.5437030792236328,0.9539149364548722,0.7814155327890301,0.8068760848349397,"[0.7846536064371287, 0.8426994769386963, 0.8284593118290143, 0.771691944134919]","[2.0852507850462048, 2.2341972696923613, 2.085250785046205, 1.946234066043125]","[0.25, 0.25, 0.25, 0.25]","[0.8854243243551443, 0.8518053656868426, 0.862217622446985, 0.8677653677961761]","[1.374251127243042, 2.118333101272583, 2.5542469024658203, 0.9777480959892273]",0.9539149364548722,1.5437030792236328,53.00071668624878
22,STGCN,4,1.5422941446304321,0.9539990190540483,0.7816394250203281,0.8042420585843744,"[0.7598908005794628, 0.8457833109439852, 0.8403343832926348, 0.7709597395214149]","[1.946234066043124, 1.6476055585550247, 1.9462340660431237, 1.7299858364827774]","[0.24999219574483592, 0.2500234127654922, 0.24999219574483592, 0.24999219574483592]","[0.8785327349174112, 0.8868305197776529, 0.835541673738931, 0.8741129884904484]","[0.7265443801879883, 0.020845552906394005, 0.5382900238037109, -0.05665172263979912]",0.9539990190540483,1.5422941446304321,52.70472502708435
23,STGCN,4,1.5410525798797607,0.9540730538800021,0.7811456962788421,0.8100506320136207,"[0.7852292427825103, 0.8420457727417898, 0.8306572377621856, 0.782270274767997]","[1.7299858364827772, 1.9462340660431245, 1.7299858364827772, 2.0852507850462048]","[0.2499708237291705, 0.24992172218691755, 0.24998919417772064, 0.2501182599061913]","[0.8997675765938702, 0.8506984763824011, 0.8944995996312467, 0.836718075670678]","[0.6303530931472778, 0.13664206862449646, 0.20976915955543518, -0.024226516485214233]",0.9540730538800021,1.5410525798797607,53.92135810852051
24,STGCN,4,1.5398263931274414,0.9541461178638443,0.7830423924850438,0.7877365589994846,"[0.790025197466348, 0.7554200439542136, 0.8558187105834136, 0.7496822839939631]","[1.5823603784362468, 2.0852507850462043, 2.5647672738815386, 2.0852507850462043]","[0.2499788363685409, 0.24998424857471085, 0.2499788363685409, 0.2500580786882073]","[0.9272173515479721, 0.8715368805106235, 0.8254375284871173, 0.8705849475137382]","[0.7751432657241821, 0.4503905177116394, 1.9695262908935547, 0.3873555362224579]",0.9541461178638443,1.5398263931274414,53.80099606513977
